Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C20, C26, C3, C5, C58, C59, C61, C7, C76, C77, C78, C79, C8, C80, C81, C82, C83, C9",C_0603,28,100nF,C14663
"C18, C19, C71, C72",C_0402,4,6pF,C1575
"C21, C22",C_0402,2,15pF,C1548
"C23, C24",C_0402,2,2.2uF,C12530
"C25, C30, C4, C57, C60, C70",C_0603,6,1uF,C15849
"C27, C54",C_1808,2,1nF,C173224
C28,C_0805,1,10nF,C107135
"C29, C52",C_0805,2,1.5nF,C1717
C31,C_1210,1,100uF,C7432783
C32,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD-1,1,560uF,
"C34, C35",C_1210,2,NI,
C36,C_0805,1,330nF,C7500383
C37,C_0805,1,1uF,C28323
"C43, C44",C_1210,2,1uF,C91151
C45,C_0603,1,10nF,C43253
C46,C_0805,1,100nF,C28233
C47,C_0805,1,100nF,C49678
C53,C_0805,1,NI,
"C55, C84",C_0603,2,10uF,C19702
"C56, C85",C_tantalum_A,2,22uF,C129272
"C6, C62, C63, C75",C_0603,4,4.7uF,C19666
"C64, C65, C66, C67",C_0603,4,10pF,
C68,C_0402,1,22nF,C1532
C69,C_0603,1,470pF,C1620
"C73, C74",C_1206,2,1nF,
C86,C487495,1,12uF,
D1,SDT10A45P5,1,~,
"D10, D11, D12, D13, D2, D4, D5, D6, D7",SMA,9,~,C437609
"D14, D15, D16, D17, D9",D_LED_0603,5,~,C2286
D3,SOD-123,1,~,C81598
"FB1, FB2",L_0805,2,700 Ohms @150MHz,C2661857
FB3,L_0805,1,~,C2661857
J1,Header_1x03_2.54_TH_labels,1,~,
J2,Header_1x06_2.54_TH_labels,1,~,
J3,FH34SRJ-18S-0.5SH(50),1,~,
J4,R-RJ45R08P-C000,1,~,
J5,Header_1x04_2.54_TH_labels,1,~,
J6,Header_1x05_2.54_TH_labels,1,~,
J7,MOLEX_503398-1892,1,~,
J8,Header_1x12_2.54_TH_labels,1,~,
L1,IND-SMD_L5.5-W5.3,1,160nH,C18236235
LOGO2,Rancune_15mm,1,~,
Q1,FOD817A3SD,1,FOD817A3SD,C128788
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
R10,R_0805,1,88K7,
R11,R_0805,1,10R,C17415
R12,R_0805,1,4K7,C17673
R13,R_0805,1,750R,C17818
R14,R_0805,1,36K5,C35928
R15,R_0603,1,150R,C22808
R16,R_0805,1,0R62,C2930222
"R18, R21, R7",R_0805,3,0R,C17477
R19,R_0805,1,48R7,C384088
R2,R_0603,1,0R,C21189
R20,R_0805,1,12K1,C2933295
"R22, R23, R24, R31, R37",R_0402,5,10K,C25744
"R25, R26, R27, R28",R_0402,4,49R9,C25120
"R29, R30, R32",R_0402,3,10R,C25077
R3,R_0603,1,330R,C23138
R33,R_0402,1,1K5,C25867
R34,R_0402,1,0R,C17168
R35,R_0603,1,12.1K,C22864
"R36, R54",R_0402,2,33R,C25105
"R38, R40",R_0603,2,270R,C22966
R39,R_0603,1,10K,C25804
R4,R_0805,1,0R,C844811
"R41, R42, R43, R44",R_0603,4,75R,C4275
"R45, R46, R47, R48, R49, R50",R_0402,6,47K,C25792
R5,R_0805,1,82K,C17840
R51,R_0603,1,10K,C25792
"R52, R55, R56, R57",R_0805,4,33,
R53,R_0603,1,10k,
"R58, R59, R60, R61",R_0603,4,100R,C22775
R6,R_0805,1,8R2,C144544
R8,R_0805,1,3R,C17660
R9,R_0805,1,24K3,C101593
SW1,C284397,1,~,C2844397
T1,749119950,1,~,N/A
U1,LQFP-144_STM-M,1,STM32H563ZIT6,
U2,SI3404-A-GMR,1,~,C461934
U3,TL431,1,~,C2156583
"U4, U9",AMS1117-3.3,2,~,C6186
U5,USBLC6-4,1,~,C111212
U6,LAN8742A-CZ-TR,1,~,C621424
U7,KMS-1102NL,1,~,C19725172
U8,W9825G6KH,1,W9825G6KH-6,C62246
"Y1, Y3",NX2016SA-25MHZ-STD-CZS-2,2,25MHZ,C843258
Y2,ABS25-32.768KHZ-T,1,32.768KHZ,C179637
