Designator,Mid X,Mid Y,Rotation,Layer
C1,135.106,-70.3,180.0,top
C10,146.456,-82.15,90.0,top
C11,146.606,-87.65,90.0,top
C12,141.606,-98.35,90.0,top
C13,134.606,-98.4,0.0,top
C14,118.606,-82.65,270.0,top
C15,130.006,-97.95,0.0,top
C16,123.606,-97.55,0.0,top
C17,117.106,-90.65,90.0,top
C18,114.106,-86.45,0.0,top
C19,114.106,-88.05,0.0,top
C2,118.406,-77.25,270.0,top
C20,107.706,-88.45,270.0,top
C21,112.106,-75.15,0.0,top
C22,112.106,-83.15,0.0,top
C23,125.106,-70.25,270.0,top
C24,139.806,-98.05,90.0,top
C25,114.406,-93.35,0.0,top
C26,114.406,-95.15,0.0,top
C27,181.7355,-129.55,0.0,top
C28,171.2355,-120.95,270.0,top
C29,197.206,-122.45,180.0,top
C3,146.506,-76.85,180.0,top
C30,204.806,-119.25,90.0,top
C31,209.106,-118.55,180.0,top
C32,202.906,-131.85,270.0,top
C36,179.9355,-135.25,90.0,top
C37,166.1355,-126.25,0.0,top
C4,117.806,-93.75,0.0,top
C43,163.806,-106.85,0.0,top
C44,163.806,-110.45,0.0,top
C45,155.706,-121.95,0.0,top
C46,173.606,-97.4,90.0,top
C47,155.5355,-134.95,0.0,top
C5,117.806,-95.55,0.0,top
C52,166.7355,-139.05,180.0,top
C54,152.206,-124.25,90.0,top
C55,119.906,-136.25,270.0,top
C56,120.306,-140.9265,90.0,top
C57,175.561066,-63.965934,270.0,top
C58,173.783066,-63.965934,270.0,top
C59,175.815066,-73.936934,90.0,top
C6,121.506,-69.95,270.0,top
C60,168.060066,-71.322934,0.0,top
C61,168.068066,-73.047934,0.0,top
C62,171.856,-57.15,270.0,top
C63,165.356,-57.1,270.0,top
C68,186.356,-78.4,0.0,top
C69,166.671066,-69.491934,0.0,top
C7,123.406,-69.95,270.0,top
C70,168.068066,-67.713934,0.0,top
C71,170.862066,-63.141934,0.0,top
C72,168.449066,-65.554934,270.0,top
C73,192.106,-85.15,180.0,top
C74,202.606,-85.65,90.0,top
C75,146.606,-110.65,90.0,top
C76,131.406,-103.15,0.0,top
C77,128.106,-104.15,270.0,top
C78,127.606,-112.15,90.0,top
C79,127.606,-115.15,270.0,top
C8,130.106,-70.3,180.0,top
C80,144.606,-114.15,90.0,top
C81,130.106,-127.95,0.0,top
C82,144.606,-110.65,90.0,top
C83,140.106,-67.65,90.0,top
C84,139.875952,-136.75,90.0,top
C85,139.775952,-141.76,90.0,top
C86,163.606,-99.95,180.0,top
C9,146.506,-75.05,180.0,top
D1,199.2155,-118.85,0.0,top
D10,184.606,-91.9,180.0,top
D11,184.606,-102.9,180.0,top
D12,199.056,-110.125,180.0,top
D13,199.056,-99.125,180.0,top
D2,163.4355,-121.85,270.0,top
D3,170.76675,-128.55,0.0,top
D4,184.606,-88.4,0.0,top
D5,184.606,-99.4,0.0,top
D6,199.056,-106.625,0.0,top
D7,199.056,-95.625,0.0,top
D9,190.1355,-141.05,180.0,top
FB1,175.356,-93.4,180.0,top
FB2,175.456,-102.9,180.0,top
FB3,168.606,-57.15,180.0,top
